caminho;bytes;sha256;mtime_utc;dt_captura;origem;acesso
dfp/_snapshots/dfp_cia_aberta_2022__v20260913__0938723d8459.zip;13448919;0938723d8459507c8d31ce84cdc958b175ea019249d437145975f2bd22543932;2026-09-18T12:15:18;2026-09-25;;
dfp/_snapshots/dfp_cia_aberta_2023__v20260913__00a5f1e68969.zip;13563164;00a5f1e689691e677c803a4cc5edad16f27042e43de3d9afd2023edf43c89e7a;2026-09-18T12:15:15;2026-09-25;;
dfp/_snapshots/dfp_cia_aberta_2024__v20260830__3131dd308f06.zip;13396363;3131dd308f06ae4f182cb38abc06330238251729b1b62b42b32779a4edeb06ab;2026-09-04T11:25:39;2026-09-25;;
dfp/_snapshots/dfp_cia_aberta_2024__v20260913__0dd854dc8766.zip;13396371;0dd854dc8766f0c6d13d876316e3583a14779388c3ba214e276b057cef43f0bb;2026-09-18T12:15:12;2026-09-25;;
dfp/_snapshots/dfp_cia_aberta_2025__v20260914__37b26bb7ee83.zip;12753312;37b26bb7ee8354f3f25abb66ae00a75bc98115cce5c5dcf6decce0990b1e520e;2026-09-18T12:15:10;2026-09-25;;
dfp/_snapshots/dfp_cia_aberta_2026__v20260913__3bfa76dfa3ad.zip;217658;3bfa76dfa3ad54c24e44f70f3962d3f49bfb2dc632379f4730a15a9835fea1c2;2026-09-18T12:15:07;2026-09-25;;
dfp/dfp_cia_aberta_2010.zip;8900829;c6a9c95c2510e8a71bb583084492e9c52c3f423a3be56f1c5d2dd4f6960677ff;2026-09-18T12:15:51;2026-09-25;;
dfp/dfp_cia_aberta_2011.zip;9225478;858423fba40124d7a30abea4e70248f7251e1d2c792e9fcece5a57afd3115f34;2026-09-18T12:15:48;2026-09-25;;
dfp/dfp_cia_aberta_2012.zip;9201737;3aff7a726d324d29924887eed45bbc58bc30b66cd9079bafe701d55efdfe0849;2026-09-04T11:25:38;2026-09-25;;
dfp/dfp_cia_aberta_2013.zip;9171449;ef379ac9aab9567434ca6d36053d8bd1f0a2a47a0c65a2e1d218259da530e224;2026-09-18T12:15:42;2026-09-25;;
dfp/dfp_cia_aberta_2014.zip;9079931;b8795dba134754475a485c0f88b6542face6613bb418d261caa011d90e032f28;2026-09-18T12:15:38;2026-09-25;;
dfp/dfp_cia_aberta_2015.zip;8987623;39a7001be9eaa91a6acc83831c816794df4f92441d7702b80da6c4b234352b4e;2026-09-18T12:15:36;2026-09-25;;
dfp/dfp_cia_aberta_2016.zip;9832691;772f06a73c5fe80534b61365ea5d03f9d8fcce21b87823bd5c9d48699bcf71d5;2026-09-18T12:15:33;2026-09-25;;
dfp/dfp_cia_aberta_2017.zip;10150935;1ff8185d61759e49b406c55c5d0b593587c2e76e9032c95f836f7fea02fc9d58;2026-09-18T12:15:31;2026-09-25;;
dfp/dfp_cia_aberta_2018.zip;10237924;280dcf5acd7bdb529acc186c9a1195092a1e06cf1e33ddcdca0b11c31261296f;2026-09-18T12:15:28;2026-09-25;;
dfp/dfp_cia_aberta_2019.zip;11185526;bc82a1162b44686e8953b521e3424a5938b6661ff4655f832db4ea9488296a0d;2026-09-04T11:25:38;2026-09-25;;
dfp/dfp_cia_aberta_2020.zip;12637854;8fb97d1887aed1e1e2d85e54cb133baf9f65b9f46f60fa8720f09c1f7a74362e;2026-09-18T12:15:23;2026-09-25;;
dfp/dfp_cia_aberta_2021.zip;13283026;64b8693b709538a0357c5179ae02231cb380d0000956ee57a873a21d4efda2e4;2026-09-18T12:15:20;2026-09-25;;
