dt_captura;recurso;arquivo;url;http_last_modified;etag;sha256;bytes;caminho;situacao;motivo
2026-09-25T18:20:11Z;risk_factors;nefin_factors.csv;https://nefin.com.br/nefindata/risk-factors/nefin_factors.csv;Thu, 17 Sep 2026 14:48:15 GMT;"""6aabfdaf-d75e0""";619991c2192c958ae5f508ca4b9eae2d679d0a87b9c19ee4a21325b1981855f2;882144;data/bronze/nefin/risk_factors/nefin_factors.csv;novo;
2026-09-26T13:46:17Z;risk_factors;nefin_factors.csv;https://nefin.com.br/nefindata/risk-factors/nefin_factors.csv;Thu, 17 Sep 2026 14:48:16 GMT;"""6aabfdb0-d75e0""";619991c2192c958ae5f508ca4b9eae2d679d0a87b9c19ee4a21325b1981855f2;882144;data/bronze/nefin/risk_factors/nefin_factors.csv;inalterado;hash coincide
